date,frequency,Sentiment,count,Avg_per
15/08/2020,1,negative,1209551,0.445771499
16/08/2020,127,negative,1247316,0.479616246
17/08/2020,1,negative,1225195,0.445893559
18/08/2020,2,negative,1340607,0.45429324
19/08/2020,1,negative,1278795,0.445018606
20/08/2020,1,negative,1356324,0.461820299
21/08/2020,1,negative,1460191,0.454922179
22/08/2020,2,negative,1423859,0.47203912
23/08/2020,5,negative,1634650,0.483073564
24/08/2020,21,negative,1483546,0.461100709
25/08/2020,1,negative,1497680,0.453838543
26/08/2020,15,negative,1525185,0.46512448
27/08/2020,79,negative,1520186,0.472845819
28/08/2020,32,negative,1599860,0.482183886
29/08/2020,5,negative,1266156,0.475577926
30/08/2020,1,negative,1370695,0.479088621
